resource_type,key,category,group,entry_id,module_id,source_name,filename,relative_path,url,bytes,content_length,status
cinema,cinema|1533|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2025/10/15/76099754/eab509938dce31ee959078a856b3be57_2530606985717724390.png,官方意象影画,卢西娅,1533,279,影画展示3,影画展示3.png,官方意象影画\卢西娅\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/10/15/76099754/eab509938dce31ee959078a856b3be57_2530606985717724390.png,,,
cinema,cinema|1501|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2025/09/24/76099754/9b5b8f8383c39cbac784fdd60dd60bea_7785538519999938319.png,官方意象影画,奥菲丝&「鬼火」,1501,279,影画展示1,影画展示1.png,官方意象影画\奥菲丝&「鬼火」\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/09/24/76099754/9b5b8f8383c39cbac784fdd60dd60bea_7785538519999938319.png,,,
cinema,cinema|1501|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2025/09/24/76099754/1ae06777195e6ac2865b710484441b0d_4447300513858634431.png,官方意象影画,奥菲丝&「鬼火」,1501,279,影画展示2,影画展示2.png,官方意象影画\奥菲丝&「鬼火」\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/09/24/76099754/1ae06777195e6ac2865b710484441b0d_4447300513858634431.png,,,
cinema,cinema|1501|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2025/09/24/76099754/fd9886fc08cb2c1c49df38ff540e9740_8456236238066491113.png,官方意象影画,奥菲丝&「鬼火」,1501,279,影画展示3,影画展示3.png,官方意象影画\奥菲丝&「鬼火」\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/09/24/76099754/fd9886fc08cb2c1c49df38ff540e9740_8456236238066491113.png,,,
cinema,cinema|1385|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2025/08/06/76099754/0286e66cba8b113b4dd9258c5fc4c8cd_5443011153427634789.png,官方意象影画,爱丽丝,1385,279,影画展示1,影画展示1.png,官方意象影画\爱丽丝\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/08/06/76099754/0286e66cba8b113b4dd9258c5fc4c8cd_5443011153427634789.png,,,
cinema,cinema|1385|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2025/08/06/76099754/048dc857059a490eeb05984237ad5200_3810511497106719772.png,官方意象影画,爱丽丝,1385,279,影画展示2,影画展示2.png,官方意象影画\爱丽丝\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/08/06/76099754/048dc857059a490eeb05984237ad5200_3810511497106719772.png,,,
cinema,cinema|1385|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2025/08/06/76099754/c741a0d05c34cca1c87e787fcb17c297_3332936742395284807.png,官方意象影画,爱丽丝,1385,279,影画展示3,影画展示3.png,官方意象影画\爱丽丝\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/08/06/76099754/c741a0d05c34cca1c87e787fcb17c297_3332936742395284807.png,,,
cinema,cinema|1386|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2025/07/16/233874762/49410c87e75c602af618340f9e721bb9_6200038590453279628.png,官方意象影画,柚叶,1386,279,影画展示1,影画展示1.png,官方意象影画\柚叶\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/07/16/233874762/49410c87e75c602af618340f9e721bb9_6200038590453279628.png,,,
cinema,cinema|1386|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2025/07/16/233874762/57125da964320d0615b74e86eb67f457_8988569574167879851.png,官方意象影画,柚叶,1386,279,影画展示2,影画展示2.png,官方意象影画\柚叶\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/07/16/233874762/57125da964320d0615b74e86eb67f457_8988569574167879851.png,,,
cinema,cinema|1386|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2025/07/16/233874762/b2dc3752be513d4bbf2fc7e8814684b4_8434331713908070060.png,官方意象影画,柚叶,1386,279,影画展示3,影画展示3.png,官方意象影画\柚叶\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/07/16/233874762/b2dc3752be513d4bbf2fc7e8814684b4_8434331713908070060.png,,,
